AreaOfInterestName,Area,ImageId,ImageDate,Sensor,GSDm,ImageName,OperationState
P1_Hatay,HATAY,10300100E49E8000,20230311,WV02,0.48,TURKEY_HATAY_10300100E49E8000_20230311.tif,Finished
P1_Hatay,HATAY,10300100E304B400,20230305,WV02,0.57,TURKEY_HATAY_10300100E304B400_20230305.tif,Finished
P1_Hatay,HATAY,10300100E32F7A00,20230305,WV02,0.58,TURKEY_HATAY_10300100E32F7A00_20230305.tif,Finished
P1_Hatay,HATAY,1040010082990000,20230228,WV03,0.62,TURKEY_HATAY_1040010082990000_20230228_v02.tif,Finished
P1_Hatay,HATAY,10300100E287FA00,20230228,WV02,0.59,TURKEY_HATAY_10300100E287FA00_20230228.tif,Finished
P1_Hatay,HATAY,10300100E32E3D00,20230228,WV02,1,TURKEY_HATAY_10300100E32E3D00_20230228.tif,Finished
P1_Hatay,HATAY,10300100E3D52E00,20230222,WV02,0.58,TURKEY_HATAY_10300100E3D52E00_20230222.tif,Finished
P1_Kahramanmaras,KAHRAMANMARAS,10300100E383D900,20230311,WV02,0.46,TURKEY_KAHRAMANMARAS_10300100E383D900_20230311.tif,Finished
P1_Kahramanmaras,KAHRAMANMARAS,1040010082B6D600,20230228,WV03,0.57,TURKEY_KAHRAMANMARAS_1040010082B6D600_20230228.tif,Finished
P1_Kahramanmaras,KAHRAMANMARAS,10300100E3154100,20230228,WV02,0.66,TURKEY_KAHRAMANMARAS_10300100E3154100_20230228.tif,Finished
P1_Kahramanmaras,KAHRAMANMARAS,10300100E2C66F00,20230228,WV02,0.69,TURKEY_KAHRAMANMARAS_10300100E2C66F00_20230228.tif,Finished
P1_Kahramanmaras,KAHRAMANMARAS,10300100E2BF8000,20230223,WV02,0.57,TURKEY_KAHRAMANMARAS_10300100E2BF8000_20230223.tif,Finished
P1_Kahramanmaras,KAHRAMANMARAS,10300100E21A3000,20230222,WV02,0.59,TURKEY_KAHRAMANMARAS_10300100E21A3000_20230222.tif,Finished
P1_Kahramanmaras,KAHRAMANMARAS,1040010083278,20230213,WV03,0.39,TURKEY_KAHRAMANMARAS_1040010083278E00_20230213.tif,Finished
P1_Kahramanmaras,KAHRAMANMARAS,1040010082530900,20230213,WV03,0.41,TURKEY_KAHRAMANMARAS_1040010082530900_20230213.tif,Finished
P1_Adiyaman,ADIYAMAN,1040010082388600,20230305,WV03,0.38,TURKEY_ADIYAMAN_1040010082388600_20230305.tif,Finished
P1_Adiyaman,ADIYAMAN,10300100E2780300,20230302,WV02,0.79,TURKEY_ADIYAMAN_10300100E2780300_20230302.tif,Finished
P1_Adiyaman,ADIYAMAN,1040010082651500,20230228,WV03,0.66,TURKEY_ADIYAMAN_1040010082651500_20230228.tif,Finished
P1_Adiyaman,ADIYAMAN,1040010082661F00,20230228,WV03,0.59,TURKEY_ADIYAMAN_1040010082661F00_20230228.tif,Finished
P1_Adiyaman,ADIYAMAN,10300100E3CF1000,20230228,WV02,0.49,TURKEY_ADIYAMAN_10300100E3CF1000_20230228.tif,Finished
P1_Adiyaman,ADIYAMAN,10300100E2514200,20230228,WV02,0.47,TURKEY_ADIYAMAN_10300100E2514200_20230228.tif,Finished
P1_Adiyaman,ADIYAMAN,10300100E2D3B600,20230223,WV02,0.58,TURKEY_ADIYAMAN_10300100E2D3B600_20230223.tif,Finished
P1_Adiyaman,ADIYAMAN,104001008209EE00,20230214,WV03,0.38,TURKEY_ADIYAMAN_104001008209EE00_20230214.tif,Finished
P1_Adiyaman,ADIYAMAN,1040010080453800,20230214,WV03,0.39,TURKEY_ADIYAMAN_1040010080453800_20230214.tif,Finished
P1_Adiyaman,ADIYAMAN,1040010082B2FB00,20230213,WV03,0.31,TURKEY_ADIYAMAN_1040010082B2FB00_20230213.tif,Finished
P1_Adiyaman,ADIYAMAN,1040010080895500,20230213,WV03,0.53,TURKEY_ADIYAMAN_1040010080895500_20230213.tif,Finished
P2_Sanliurfa,SANLIURFA,10300100E201BA00,20230226,WV02,0.67,TURKEY_SANLIURFA_10300100E201BA00_20230226.tif,Finished
